state,SUM of total,SUM of male_18_20,SUM of female_18_20,Age 18-20,SUM of male_21_29,SUM of female_21_29,Age 21-29,SUM of male_30_39,SUM of female_30_39,Age 30-39,SUM of male_40_49,SUM of female_40_49,Age 40-49,SUM of male_50_59,SUM of female_50_59,Age 50-59,SUM of male_60_69,SUM of female_60_69,Age 60-69,SUM of male_70_79,SUM of female_70_79,Age 70-79,SUM of male_80_89,SUM of female_80_89,Age 80-89,SUM of male_90+,SUM of female_90+,Age 90+,SUM of votertype_regular,SUM of votertype_early_army,SUM of votertype_early_police,SUM of votertype_postal_overseas,SUM of pengundi_tidak_hadir,SUM of pengundi_jumlah,voting_rate
Johor,2616575,87465,82454,169919,290285,276060,566345,288446,276881,565327,232225,227058,459283,189786,192377,382163,135016,145427,280443,63415,74232,137647,18459,27581,46040,3997,5411,9408,2593562,11145,11544,324,640961,2616575,0.7550
Kedah,1575805,54262,51745,106007,181654,176317,357971,175126,172103,347229,133958,132986,266944,108075,113551,221626,76629,88530,165159,34746,44998,79744,9809,16476,26285,2133,2707,4840,1560981,8633,6041,150,310271,1575805,0.8031
Kelantan,1404763,50191,48238,98429,168750,166210,334960,173270,170604,343874,118410,116113,234523,88312,92095,180407,61947,67528,129475,27909,33275,61184,6536,10921,17457,1851,2603,4454,1393567,6126,4935,135,397533,1404763,0.7170
Melaka,657324,21174,20173,41347,73078,68655,141733,72448,71057,143505,55346,55957,111303,45182,48025,93207,34617,39140,73757,16344,21071,37415,4867,7919,12786,905,1366,2271,644645,10097,2504,78,136401,657324,0.7925
Negeri Sembilan,850865,27774,25452,53226,92277,86876,179153,97665,93379,191044,72364,71730,144094,57132,59678,116810,46978,52686,99664,21417,25907,47324,6234,9971,16205,1481,1864,3345,830497,15048,5176,144,182955,850865,0.7850
Pahang,1136944,38658,36121,74779,129323,121578,250901,142870,136549,279419,100167,95786,195953,72790,74387,147177,53659,58902,112561,26714,30066,56780,6831,9626,16457,1385,1532,2917,1115670,15026,6136,112,251285,1136944,0.7790
Perak,2036872,57386,54414,111800,208065,196271,404336,225392,214492,439884,181010,170227,351237,148129,148832,296961,115167,127778,242945,58363,73951,132314,17880,29252,47132,4424,5839,10263,2005362,19076,12215,219,530538,2036872,0.7395
Perlis,195927,5980,5908,11888,21211,20104,41315,23227,22354,45581,15944,15885,31829,13115,13826,26941,10402,11703,22105,5364,6413,11777,1496,2321,3817,284,390,674,192242,1840,1826,19,45296,195927,0.7688
Pulau Pinang,1226626,34885,33197,68082,118309,112612,230921,122601,118165,240766,106386,109607,215993,94990,102422,197412,72345,84272,156617,36493,47508,84001,10105,16755,26860,2686,3288,5974,1215424,5014,6051,137,270537,1226626,0.7794
Sabah,1689387,65750,61832,127582,208425,197335,405760,203040,196103,399143,140121,138959,279080,109603,106472,216075,79644,75693,155337,30653,33133,63786,11222,15458,26680,7082,8862,15944,1667885,10112,11320,70,601562,1689387,0.6439
Sarawak,1943074,66788,62246,129034,213674,201971,415645,209096,201050,410146,166791,164882,331673,147774,147959,295733,106303,107995,214298,48001,54503,102504,13402,19736,33138,3789,7114,10903,1920840,12256,9871,107,745578,1943074,0.6163
Selangor,3677848,141058,132645,273703,433905,411112,845017,394019,383656,777675,314957,328138,643095,262624,277185,539809,179978,199133,379111,75893,89325,165218,18476,27369,45845,3773,4602,8375,3652790,7468,16779,811,715718,3677848,0.8054
Terengganu,922856,33579,31543,65122,112168,108098,220266,121087,117368,238455,80019,78891,158910,56085,59375,115460,38097,41323,79420,15674,18426,34100,3336,6139,9475,618,1030,1648,915748,2483,4542,83,174199,922856,0.8112
W.P. Kuala Lumpur,1151407,28928,26907,55835,104994,95623,200617,124223,111470,235693,103283,101702,204985,91363,96172,187535,75313,83030,158343,35409,42429,77838,10268,14601,24869,2759,2933,5692,1111693,20704,18733,277,288673,1151407,0.7493
W.P. Labuan,44484,1690,1535,3225,5509,4973,10482,5685,5201,10886,3619,3339,6958,2997,2803,5800,2478,2171,4649,922,830,1752,247,281,528,115,89,204,43034,1069,375,6,15722,44484,0.6466
W.P. Putrajaya,42881,1911,1660,3571,4587,4420,9007,6137,6583,12720,4632,4756,9388,2147,2235,4382,1467,1720,3187,293,274,567,25,32,57,1,1,2,41426,640,746,69,5912,42881,0.8621